,ds,y
0,2021-06-02,230283.0
1,2021-06-03,248847.0
2,2021-06-04,269495.0
3,2021-06-05,288985.0
4,2021-06-06,307419.0
5,2021-06-07,322353.0
6,2021-06-08,338836.0
7,2021-06-09,356539.0
8,2021-06-10,372872.0
9,2021-06-11,388682.0
10,2021-06-12,401349.0
11,2021-06-13,414856.0
12,2021-06-14,424052.0
13,2021-06-15,435069.0
14,2021-06-16,447553.0
15,2021-06-17,458371.0
16,2021-06-18,467953.0
17,2021-06-19,476343.0
18,2021-06-20,486455.0
19,2021-06-21,491731.0
20,2021-06-22,497601.0
21,2021-06-23,504227.0
22,2021-06-24,510094.0
23,2021-06-25,515696.0
24,2021-06-26,521598.0
25,2021-06-27,528201.0
26,2021-06-28,532168.0
27,2021-06-29,536753.0
28,2021-06-30,540683.0
29,2021-07-01,544820.0
30,2021-07-02,546828.0
31,2021-07-03,549778.0
32,2021-07-04,552860.0
33,2021-07-05,554919.0
34,2021-07-06,557685.0
35,2021-07-07,560141.0
36,2021-07-08,563689.0
37,2021-07-09,566795.0
38,2021-07-10,569289.0
39,2021-07-11,572030.0
40,2021-07-12,574211.0
41,2021-07-13,577023.0
42,2021-07-14,580144.0
43,2021-07-15,583324.0
44,2021-07-16,586655.0
45,2021-07-17,589683.0
46,2021-07-18,592404.0
47,2021-07-19,594585.0
48,2021-07-20,597506.0
49,2021-07-21,600593.0
50,2021-07-22,603616.0
51,2021-07-23,606709.0
52,2021-07-24,610019.0
53,2021-07-25,612860.0
54,2021-07-26,614845.0
55,2021-07-27,617734.0
56,2021-07-28,620863.0
57,2021-07-29,624503.0
58,2021-07-30,628122.0
59,2021-07-31,631440.0
60,2021-08-01,633853.0
61,2021-08-02,635373.0
62,2021-08-03,636606.0
63,2021-08-04,639207.0
64,2021-08-05,641799.0
65,2021-08-06,644132.0
66,2021-08-07,646337.0
67,2021-08-08,648063.0
68,2021-08-09,649225.0
69,2021-08-10,651122.0
70,2021-08-11,653209.0
71,2021-08-12,655244.0
72,2021-08-13,657301.0
73,2021-08-14,659394.0
74,2021-08-15,660954.0
75,2021-08-16,662059.0
76,2021-08-17,663983.0
77,2021-08-18,666075.0
78,2021-08-19,672358.0
79,2021-08-20,677572.0
80,2021-08-21,681831.0
81,2021-08-22,684975.0
82,2021-08-23,687175.0
83,2021-08-24,690840.0
84,2021-08-25,694441.0
85,2021-08-26,697767.0
86,2021-08-27,700600.0
87,2021-08-28,703292.0
88,2021-08-29,705502.0
89,2021-08-30,707043.0
90,2021-08-31,709643.0
91,2021-09-01,712481.0
92,2021-09-02,715189.0
93,2021-09-03,718804.0
94,2021-09-04,722400.0
95,2021-09-05,724842.0
96,2021-09-06,726559.0
97,2021-09-07,727739.0
98,2021-09-08,730088.0
99,2021-09-09,732294.0
100,2021-09-10,734248.0
101,2021-09-11,736462.0
102,2021-09-12,738457.0
103,2021-09-13,739442.0
104,2021-09-14,740947.0
105,2021-09-15,742919.0
106,2021-09-16,744771.0
107,2021-09-17,746580.0
108,2021-09-18,748562.0
109,2021-09-19,750169.0
110,2021-09-20,751076.0
111,2021-09-21,752321.0
112,2021-09-22,754042.0
113,2021-09-23,755946.0
114,2021-09-24,757906.0
115,2021-09-25,759951.0
116,2021-09-26,761925.0
117,2021-09-27,762923.0
118,2021-09-28,764311.0
119,2021-09-29,765939.0
120,2021-09-30,767526.0
121,2021-10-01,768791.0
122,2021-10-02,770362.0
123,2021-10-03,771597.0
124,2021-10-04,772519.0
125,2021-10-05,773517.0
126,2021-10-06,774697.0
127,2021-10-07,775561.0
128,2021-10-08,776711.0
129,2021-10-09,778329.0
130,2021-10-10,779870.0
131,2021-10-11,780429.0
132,2021-10-12,780640.0
133,2021-10-13,781723.0
134,2021-10-14,782819.0
135,2021-10-15,783924.0
136,2021-10-16,785171.0
137,2021-10-17,786379.0
138,2021-10-18,786986.0
139,2021-10-19,787759.0
140,2021-10-20,788782.0
141,2021-10-21,789633.0
142,2021-10-22,790649.0
143,2021-10-23,791667.0
144,2021-10-24,792696.0
145,2021-10-25,793151.0
146,2021-10-26,793810.0
147,2021-10-27,794605.0
148,2021-10-28,795321.0
149,2021-10-29,795989.0
150,2021-10-30,796793.0
151,2021-10-31,797550.0
152,2021-11-01,797833.0
153,2021-11-02,798335.0
154,2021-11-03,799018.0
155,2021-11-04,799628.0
156,2021-11-05,800233.0
157,2021-11-06,800702.0
158,2021-11-07,801460.0
159,2021-11-08,802104.0
160,2021-11-09,802558.0
161,2021-11-10,803135.0
162,2021-11-11,803718.0
163,2021-11-12,804269.0
164,2021-11-13,805048.0
165,2021-11-14,805782.0
166,2021-11-15,806133.0
167,2021-11-16,806617.0
168,2021-11-17,807184.0
169,2021-11-18,807696.0
170,2021-11-19,808193.0
171,2021-11-20,808938.0
172,2021-11-21,809573.0
173,2021-11-22,809881.0
174,2021-11-23,810228.0
175,2021-11-24,810722.0
176,2021-11-25,811215.0
177,2021-11-26,811726.0
178,2021-11-27,812244.0
179,2021-11-28,812805.0
180,2021-11-29,813078.0
181,2021-11-30,813511.0
182,2021-12-01,814033.0
183,2021-12-02,814451.0
184,2021-12-03,814884.0
185,2021-12-04,815465.0
186,2021-12-05,816014.0
187,2021-12-06,816328.0
188,2021-12-07,816768.0
189,2021-12-08,817188.0
190,2021-12-09,817662.0
191,2021-12-10,818096.0
192,2021-12-11,818645.0
193,2021-12-12,819171.0
194,2021-12-13,819492.0
195,2021-12-14,819866.0
196,2021-12-15,820314.0
197,2021-12-16,820793.0
198,2021-12-17,821207.0
199,2021-12-18,821647.0
200,2021-12-19,822067.0
201,2021-12-20,822343.0
202,2021-12-21,822797.0
203,2021-12-22,823274.0
204,2021-12-23,823777.0
205,2021-12-24,824202.0
206,2021-12-25,824376.0
207,2021-12-26,824402.0
208,2021-12-27,824472.0
209,2021-12-28,824734.0
210,2021-12-29,825085.0
211,2021-12-30,825468.0
212,2021-12-31,825863.0
213,2022-01-01,826090.0
214,2022-01-02,826130.0
215,2022-01-03,826308.0
216,2022-01-04,826649.0
217,2022-01-05,827055.0
218,2022-01-06,827461.0
219,2022-01-07,827852.0
220,2022-01-08,828222.0
221,2022-01-09,828559.0
222,2022-01-10,828792.0
223,2022-01-11,829119.0
224,2022-01-12,829498.0
225,2022-01-13,830004.0
226,2022-01-14,830554.0
227,2022-01-15,831089.0
228,2022-01-16,831552.0
229,2022-01-17,831844.0
230,2022-01-18,832018.0
231,2022-01-19,832348.0
232,2022-01-20,832701.0
233,2022-01-21,833069.0
234,2022-01-22,833445.0
235,2022-01-23,833784.0
236,2022-01-24,833948.0
237,2022-01-25,834213.0
238,2022-01-26,834503.0
239,2022-01-27,834829.0
240,2022-01-28,835159.0
241,2022-01-29,835511.0
242,2022-01-30,835774.0
243,2022-01-31,835941.0
244,2022-02-01,836260.0
245,2022-02-02,836607.0
246,2022-02-03,836951.0
247,2022-02-04,837226.0
248,2022-02-05,837599.0
249,2022-02-06,837878.0
250,2022-02-07,838011.0
251,2022-02-08,838268.0
252,2022-02-09,838578.0
253,2022-02-10,838906.0
254,2022-02-11,839197.0
255,2022-02-12,839530.0
256,2022-02-13,839737.0
257,2022-02-14,857026.0
258,2022-02-15,857289.0
259,2022-02-16,857571.0
260,2022-02-17,857865.0
261,2022-02-18,858129.0
262,2022-02-19,858449.0
263,2022-02-20,858683.0
264,2022-02-21,858837.0
265,2022-02-22,858909.0
266,2022-02-23,859124.0
267,2022-02-24,859396.0
268,2022-02-25,859652.0
269,2022-02-26,859886.0
270,2022-02-27,860082.0
271,2022-02-28,860178.0
272,2022-03-01,860338.0
273,2022-03-02,860528.0
274,2022-03-03,860702.0
275,2022-03-04,860834.0
276,2022-03-05,860989.0
277,2022-03-06,861139.0
278,2022-03-07,861211.0
279,2022-03-08,861323.0
280,2022-03-09,861468.0
281,2022-03-10,861617.0
282,2022-03-11,861733.0
283,2022-03-12,861879.0
